Vendedor,Cliente,Nombre,Categoria,Material,Descripción,Presentación,Embalaje,Enero 24,Febrero 24,Marzo 24,Abril 24,Mayo 24,Junio 24,Julio 24,Agosto 24,Septiembre 24,Octubre 24,Noviembre 24,Diciembre 24,Enero 25,Febrero 25,Marzo 25,Abril 25,Mayo 25,Junio 25,Julio 25,Agosto 25,Septiembre 25,Octubre 25,Noviembre 25,Diciembre 25,Pedido1,Pedido2,Total
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,1P52086,RESINA P/FONDO BLANQUEADOR ADH 2 LTR,2 LITROS,CAJA 8 UN,,,,,,,12.0,,,,,,,,,,,,14.4,,,,,,20.0,1.0,21.0
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,1P52108,MASIPLAST ESP LITRO (6),LITRO,CAJA 6 UN,,,,,,,12.0,,,,,,,,,,,,14.4,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,AD40120,BLANQUEADOR ADHEPLAST 2 COMPONENTES 20KG,UN,1 UN,,,,,,,12.0,,,,,,,,,,,,14.4,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,ADC0226,MANGUERA DE AIRE 1/4X250 PSI -25FT (7.5M,UN,1 UN,,,3.0,,,,,,,,,,,,3.6,,,,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,ADHM005,ESPUMA DE POLIURETANO 500ML 493G,UN,1 UN,12.0,,12.0,,,,,,,,,,14.4,,14.4,,,,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,CB00402,FONDO ACRLICO CANECA,CANECA,1 UN,,,,,,,2.0,,2.0,,,,,,,,,,2.4,,2.4,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,CB00403,FONDO ACRILICO GALON,GALON,CAJA 4 UN,,,,,,,4.0,8.0,,,,8.0,,,,,,,4.8,9.6,,,,9.6,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,CR10014,REMOVEDOR DE PINTURA LITRO,LITRO,CAJA 6 UN,,,,6.0,,,12.0,,,,,,,,,7.2,,,14.4,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ACABADOS DE LA CONSTRUCCION,CS10014,"DESOXIDANT P/METALE ""DESOXI-PLAST"" LITRO",LITRO,CAJA 6 UN,,,,,,,,12.0,,,,,,,,,,,,14.4,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,ADHEPLAST SPRAY,9CD6003,PINTURA EN SPRAY VERDE OSCURO,UN,1 UN,,,,,,,,,,,,12.0,,,,,,,,,,,,14.4,,,
